,station_id,description,lon,lat,height
197,97230,DENPASAR-NGURAHRAI,115.17,-8.75,1.0
198,98425,MANILA,120.98,14.58,13.0
199,98618,PUERTO PRINCESA,118.73,9.75,14.0
200,25913,MAGADAN,150.78,59.55,132.0
201,28411,IZHEVSK,53.45,56.83,131.0
202,34267,DANILOVKA,44.12,50.37,102.0
203,35138,ORSK (SOUTH APT),58.6,51.07,285.0
204,36003,PAVLODAR,76.93,52.3,131.0
205,36859,PANFILOV,80.07,44.17,136.0
206,37514,AKHALTSIKHE,43.0,41.65,139.0
207,37621,BOLNISI,44.57,41.45,134.0
208,37711,IDZHEVAN,45.15,40.87,136.0
209,37756,MARAZA,48.93,40.53,134.0
210,37897,SISIAN,46.03,39.5,134.0
211,38141,ZHASLYK,57.88,43.88,133.0
212,38343,KULAN,72.75,42.95,125.0
213,38396,URGENCH,60.65,41.58,131.0
214,38579,DZHIZAK,67.83,40.12,134.0
215,38613,DZHALAL-ABAD,72.95,40.92,136.0
216,38683,BUHARA (BUKHARA),64.48,39.78,130.0
217,38750,ESENGULY,53.97,37.47,159.0
218,38856,DARVAZ,70.78,38.47,129.0
219,38933,KURGAN-TYUBE,68.78,37.82,139.0
220,40608,MOSUL,43.15,36.32,223.0
221,41947,KHULNA,89.53,22.78,4.0
222,48618,KUALA TRENGGANU,103.1,5.38,6.0
223,65510,BOBO DIOULASSO,-4.33,11.17,461.0
224,72401,RICHMOND (BYRD AIRPO,-77.32,37.52,51.0
225,78990,"FLAMINGO,BONAIRE",-68.28,12.15,6.0
226,83095,ARACAJÚ,-37.07,-10.98,8.0
227,83460,PORTO SEGURO,-39.08,-16.43,51.0
228,83649,VITÓRIA,-40.28,-20.25,3.0
229,83755,SANTOS DUMONT,-43.17,-22.92,3.0
230,83905,JOINVILLE,-48.8,-26.22,5.0
231,85244,SANTA CRUZ- VIRU,-63.13,-17.65,373.0
232,91592,NOUMEA,166.45,-22.27,69.0
233,01194,NARVIK,17.5,68.47,17.0
234,02096,PAJALA,23.38,67.2,165.0
235,02293,SKELLEFTEHAMN,21.08,64.63,46.0
236,02912,VAASA,21.58,63.1,4.0
237,04048,VESTMANNAEYJAR,-20.28,63.4,118.0
238,08513,PONTA DELGADA,-25.67,37.75,35.0
239,28642,CELJABINSK-BLANDINO,61.53,55.3,230.0
240,29846,NOVOKUZNETSK,86.88,53.82,308.0
241,34172,SARATOW,46.03,51.55,111.0
242,36985,KARAKOLKA,77.4,41.48,3080.0
243,37272,TKVARCHELI,41.67,42.83,266.0
244,37437,DUSHETI,44.7,42.08,128.0
245,37651,SHIRAKI,46.25,41.42,801.0
246,37747,YEVLAKH,47.15,40.63,133.0
247,37895,STEPANAKERT,46.75,39.82,131.0
248,38232,AK-KUDUK,54.1,42.97,129.0
249,40039,RAQQA,39.02,35.93,245.0
250,40415,DAMMAM (KING FAHD IN,49.8,26.43,13.0
251,40689,BASRAH,47.78,30.57,2.0
252,40914,BAGHLAN,68.65,36.08,550.0
253,40990,KANDAHAR,65.85,31.5,1010.0
254,41404,SANA'A,44.18,15.52,2206.0
255,41494,SOCOTRA,53.9,12.63,47.0
256,42475,ALLAHABAD/BAMHRAULI,81.73,25.45,97.0
257,47110,SEOUL AIRPORT,126.8,37.55,18.0
258,47182,CHEJU INT'L AIRPORT,126.5,33.52,36.0
259,47595,FUKUSHIMA,140.47,37.75,69.0
260,47618,MATSUMOTO,137.97,36.25,610.0
261,47671,TOKYO INTERNATIONAL,139.77,35.55,6.0
262,47759,KYOTO,135.73,35.02,41.0
263,47808,FUKUOKA AIRPORT,130.45,33.58,9.0
264,47930,NAHA,127.65,26.18,3.0
265,48632,CAMERON HIGHLANDS,101.37,4.47,1545.0
266,48966,SIEMREAP,103.85,13.37,15.0
267,57036,XI'AN,108.93,34.3,398.0
268,58367,SHANGHAI,121.47,31.4,8.0
269,61226,GAO,-0.05,16.27,265.0
270,61984,SAINT-PIERRE,55.48,-21.33,52.0
271,62460,SHARM EL SHEIKH,34.38,27.97,49.0
272,62810,KADUGLI,29.72,11.0,499.0
273,63023,MASSAWA,39.45,15.62,10.0
274,63451,HARAR MEDA,38.95,8.73,1900.0
275,64950,YAOUNDE/NSIMALEN,11.52,3.83,751.0
276,67561,NDOLA,28.65,-13.0,1269.0
277,68104,WALVIS BAY,14.43,-22.88,7.0
278,68476,LADYSMITH,29.77,-28.57,1100.0
279,70272,ANCHORAGE ELMENDORF,-149.8,61.25,65.0
280,71716,BATHURST,-71.5,46.9,168.0
281,71863,REGINA SASK.,-104.67,50.43,577.0
282,71957,INUVIK,-133.48,68.3,59.0
283,72237,FORT MYERS,-81.75,26.53,9.0
284,72340,NORTH LITTLE ROCK,-92.25,34.83,165.0
285,72469,DENVER,-104.87,39.75,1625.0
286,72512,NIAGARA FALLS,-78.95,43.1,180.0
287,72568,JACKSON HOLE,-110.73,43.6,1964.0
288,72775,GREAT FALLS MT.,-111.37,47.48,1118.0
289,76595,CANCUN,-86.85,21.02,10.0
290,78229,VARADERO,-81.28,23.13,3.0
291,78337,TRINIDAD,-79.98,21.78,54.0
292,78409,CAP-HAITIEN,-72.18,19.75,2.0
293,78475,LA ROMANA,-68.93,18.42,8.0
294,78662,SAN SALVADOR,-89.2,13.72,698.0
295,78792,PANAMA TOCUMEN APT,-79.37,9.05,45.0
296,78954,GRANTLEY ADAMS,-59.48,13.07,50.0
297,80421,MARGARITA INTL.,-63.97,10.92,24.0
298,82240,PARINTINS,-56.73,-2.62,29.0
299,82353,ALTAMIRA,-52.22,-3.22,74.0
300,82425,COARI,-63.15,-4.08,46.0
301,82567,CARAJAS,-50.0,-6.12,621.0
302,82640,JACAREACANGA,-57.78,-6.23,98.0
303,82900,RECIFE CURADO,-34.92,-8.05,7.0
304,82986,PAULO AFONSO,-38.22,-9.4,253.0
305,83344,VITÓRIA DA CONQUISTA,-40.8,-14.88,875.0
306,83531,PATOS DE MINAS,-46.43,-18.52,940.0
307,83618,TRÊS LAGOAS,-51.7,-20.78,313.0
308,83672,ARAÇATUBA,-50.43,-21.2,397.0
309,83719,CABO FRIO,-42.03,-22.98,7.0
310,83773,AVARE,-48.92,-23.1,793.0
311,83828,TOLEDO,-53.7,-24.68,562.0
312,83891,LAGES,-50.33,-27.8,937.0
313,83968,PORTO ALEGRE CANOAS,-51.15,-29.95,8.0
314,85972,KAP HOORN,-68.72,-56.6,42.0
315,86645,SORRISO,-55.72,-12.55,380.0
316,87839,FARO PUNTA DELGADA,-63.63,-42.77,56.0
317,89542,MOLODEZNAYA,45.85,-67.67,40.0
318,91530,NAURU INT.,166.92,-0.53,6.0
319,91961,PITCAIRN ISLAND,-130.1,-25.07,264.0
320,93780,CHRISTCHURCH,172.55,-43.48,38.0
321,94463,CURTIN SPRINGS,131.75,-25.32,488.0
322,94791,COFFS HARBOUR,153.12,-30.32,6.0
323,96747,JAKARTA HALIM P.,106.9,-6.25,30.0
324,98748,CAGAYAN DE ORO,124.63,8.48,5.0
325,F9402,CASCAVEL,-53.5,-25.0,754.0
326,F9406,BONITO,-56.77,-21.38,360.0
327,F9410,JI-PARANÁ,-61.85,-10.87,182.0
328,F9414,SÃO JOSÉ D. R. PRETO,-49.4,-20.82,544.0
329,F9418,TEIXEIRA DE FREITAS,-39.68,-17.53,105.0
330,F9422,JUIZ DE FORA,-43.17,-21.52,411.0
331,F9426,CRUZ/ARISTON PESSOA,-40.35,-2.9,73.0
332,F9430,ARARAQUARA,-48.13,-21.8,711.0
333,N9609,ABYEI,28.43,9.6,400.0
334,P0048,TONGARIO NATIONALP.,175.5,-39.25,1500.0
335,P0052,ARBIL,44.02,36.2,400.0
336,P0318,HEBER CITY,-111.42,40.52,1670.0
337,P0322,WESTL. DAVENPORT,-123.0,37.0,0.0
338,P0337,SAN PEDRO DE MACORIS,-69.3,18.5,5.0
339,P0342,NATIONALPARK JARAGUA,-71.42,17.62,0.0
340,P0408,VAIL,-106.37,39.63,2400.0
341,P0485,LOLENGI,21.0,0.15,380.0
342,P0517,USINSK,57.55,66.0,78.0
343,P0565,TIANJIN,117.17,39.1,5.0
344,P0569,ORLANDO / SANFORD A.,-81.25,28.77,17.0
345,P0614,CALICUT,75.95,11.13,104.0
346,W1164,ISLA MARGARITA,-64.0,11.0,0.0
347,W1724,KAP VERDEN,-24.48,17.4,0.0
348,W2030,20N30W,-30.0,20.0,0.0
349,W2617,SDL.TENERIFFA,-16.73,26.3,0.0
350,W3417,NDL.MADEIRA,-17.0,34.0,0.0
351,W4346,GEBIET 44,-45.82,42.87,0.0
352,W4715,GEBIET 46,-14.7,47.07,0.0
353,W4845,GEBIET 49,-45.35,48.22,0.0
354,W5244,GEBIET 54,-44.37,52.42,0.0
355,W5353,GEBIET 55,-52.83,53.28,0.0
356,W5755,GEBIET 60,-55.2,57.18,0.0
357,W5825,GEBIET 57,-24.88,57.93,0.0
358,W6031,PENTL-FARV3,-31.22,60.47,0.0
359,W6458,DAVISSTR1,-58.0,64.0,0.0
360,W9853,WINNIPEG-SEE,-98.0,53.0,0.0
361,E6319,BOTTENSEE-NW,18.8,62.8,0.0
362,E6602,POSITION M,2.0,66.0,0.0
363,E7520,BAERENINSEL,19.72,74.65,0.0
364,S4659,ATLANTIK SUED2,-59.0,-46.0,0.0
365,F9788,RAYONG/U-TAPAO PATT.,101.0,12.68,18.0
366,F9758,ERBIL INTL,43.95,36.23,415.0
367,01028,BJORNOYA,19.02,74.52,16.0
368,01092,MAKKAUR FYR,30.07,70.72,9.0
369,01238,FOKSTUA 2,9.28,62.12,973.0
370,02267,ORNSKOLDSVIK,18.68,63.3,24.0
371,02366,TIMRA/MIDLANDA,17.45,62.52,3.0
372,02830,KITTILA,24.85,67.7,196.0
373,02876,OULU,25.38,65.02,3.0
374,02929,JOENSUU APT,29.63,62.67,119.0
375,02948,SAVONLINNA,28.95,61.95,95.0
376,04097,DALATANGI,-13.58,65.27,9.0
377,04320,DANMARKSHAVN,-18.67,76.77,11.0
